biomass,biomass_author,biomass_year,biomass_journal,biomass_doi,biomass_database,biomass_mosaic,biomass_notes,height,height_author,height_year,height_journal,height_doi,height_database,height_mosaic,height_notes,growthdet,growthdet_author,growthdet_year,growthdet_journal,growthdet_doi,growthdet_database,growthdet_mosaic,growthdet_notes,regen,regen_author,regen_year,regen_journal,regen_doi,regen_database,regen_mosaic,regen_notes,dimorph,dimorph_author,dimorph_year,dimorph_journal,dimorph_doi,dimorph_database,dimorph_mosaic,dimorph_notes,matsyst,matsyst_author,matsyst_year,matsyst_journal,matsyst_doi,matsyst_database,matsyst_mosaic,matsyst_notes,hermaph,hermaph_author,hermaph_year,hermaph_journal,hermaph_doi,hermaph_database,hermaph_mosaic,hermaph_notes,seqherm,seqherm_author,seqherm_year,seqherm_journal,seqherm_doi,seqherm_database,seqherm_mosaic,seqherm_notes,dispcap,dispcap_author,dispcap_year,dispcap_journal,dispcap_doi,dispcap_database,dispcap_mosaic,dispcap_notes,disptype,disptype_author,disptype_year,disptype_journal,disptype_doi,disptype_database,disptype_mosaic,disptype_notes,checkModeDisp,modedisp_author,modedisp_year,modedisp_journal,modedispe_doi,modedisp_database,modedisp_mosaic,modedisp_notes,dispclass,dispclass_author,dispclass_year,dispclass_journal,dispclass_doi,dispclass_database,dispclass_mosaic,dispclass_notes,volancy,volancy_author,volancy_year,volancy_journal,volancy_doi,volancy_database,volancy_mosaic,volancy_notes,aquadep,aquadep_author,aquadep_year,aquadep_journal,aquadep_doi,aquadep_database,aquadep_mosaic,aquadep_notes,specieslist
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,(Example Record)
50578,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,Marker & Dickman,2003,J. Mammal,10.1644/BRB-036,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Law, C.J.",2019,Sci. Rep.,10.1038/s41598-019-51943-x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Gimmnan, S. J. et al.",2017,Zoo Biology,doi.org/10.1002/zoo.21377,NDY,NDY,,Active,"Gimmnan, S. J. et al.",2017,Zoo Biology,doi.org/10.1002/zoo.21377,NDY,NDY,,Motile,"Gimmnan, S. J. et al.",2017,Zoo Biology,doi.org/10.1002/zoo.21377,NDY,NDY,,Juvenile,"Gimmnan, S. J. et al.",2017,Zoo Biology,doi.org/10.1002/zoo.21377,NDY,NDY,,Non-volant,"Gimmnan, S. J. et al.",2017,Zoo Biology,doi.org/10.1002/zoo.21377,NDY,NDY,,"Terrestrial, Water Habitat Independent","Broomhall, L.S.; Mills, M.G.L.; & duToit, J.T.",2006,Journal of Zoology,10.1017/S0952836903004059,NDY,NDY,,Acinonyx jubatus
ND,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Regenerative,Howells et al.,2020,Coral Reefs,10.1007/s00338-020-01946-2,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic,"Howells, E. J. et al.",2014,Sci. Rep.,10.1038/srep07484,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Riegl, B. et al.",2018,Global Change Biology,doi.org/10.1111/gcb.14114,NDY,NDY,,Passive,"Riegl, B. et al.",2018,Global Change Biology,doi.org/10.1111/gcb.14114,NDY,NDY,,Water currents,"Riegl, B. et al.",2018,Global Change Biology,doi.org/10.1111/gcb.14114,NDY,NDY,,Juvenile,"Riegl, B. et al.",2018,Global Change Biology,doi.org/10.1111/gcb.14114,NDY,NDY,,Non-volant,"Riegl, B. et al.",2018,Global Change Biology,doi.org/10.1111/gcb.14114,NDY,NDY,,Marine,"Riegl, B. et al.",2018,Global Change Biology,10.1111/gcb.14114,NDY,NDY,,Acropora downingi
52500,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,"Jarman, P.",1983,Biol. Rev.,10.1111/j.1469-185X.1983.tb00398.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Pérez‐Barbería, F. J., Gordon, I. J., & Pagel, M.",2002,Evolution,10.1111/j.0014-3820.2002.tb01438.x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Murray, M. G.",1982,African Journal of Ecology,doi.org/10.1111/j.1365-2028.1982.tb00301.x,NDY,NDY,,Active,"Murray, M. G.",1982,African Journal of Ecology,doi.org/10.1111/j.1365-2028.1982.tb00301.x,NDY,NDY,,Motile,"Murray, M. G.",1982,African Journal of Ecology,doi.org/10.1111/j.1365-2028.1982.tb00301.x,NDY,NDY,,Adult,"Murray, M. G.",1982,African Journal of Ecology,doi.org/10.1111/j.1365-2028.1982.tb00301.x,NDY,NDY,,Non-volant,"Murray, M. G.",1982,African Journal of Ecology,doi.org/10.1111/j.1365-2028.1982.tb00301.x,NDY,NDY,,"Terrestrial, Water Habitat Independent","Mandinyenya, B. et al.",2018,Journal of Tropical Ecology,10.1017/S026646741800038X,NDY,NDY,,Aepyceros melampus
351000,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,"Belovsky, G.",1977,Theor Ecol,10.1016/0040-5809(78)90007-2,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Pérez‐Barbería, F. J., Gordon, I. J., & Pagel, M.",2002,Evolution,10.1111/j.0014-3820.2002.tb01438.x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Labonte, J. et al.",1998,The Journal of Wildlife Management,doi.org/10.2307/3802282,NDY,NDY,,Active,"Labonte, J. et al.",1998,The Journal of Wildlife Management,doi.org/10.2307/3802282,NDY,NDY,,Motile,"Labonte, J. et al.",1998,The Journal of Wildlife Management,doi.org/10.2307/3802282,NDY,NDY,,Juvenile,"Labonte, J. et al.",1998,The Journal of Wildlife Management,doi.org/10.2307/3802282,NDY,NDY,,Non-volant,"Labonte, J. et al.",1998,The Journal of Wildlife Management,doi.org/10.2307/3802282,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Olsson, M. et al.",2011,European Journal of Wildlife Research,10.1007/s10344-010-0418-5,NDY,NDY,,Alces alces
62000,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,"Wilkinson, P., et al.",2016,Copeia,10.1643/CH-16-430,NDY,NDY,,Regenerative,Xu et al.,2020,Sci. Rep.,10.1038/s41598-020-77052-8,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Non-monogamous,"Uller, T., & Olsson, M.",2008,Mol. Ecol.,10.1111/j.1365-294X.2008.03772.x,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Lance, V. A. et al.",2011,Southeastern Naturalist,https://www.jstor.org/stable/41262920,NDY,NDY,,Active,"Lance, V. A. et al.",2011,Southeastern Naturalist,https://www.jstor.org/stable/41262920,NDY,NDY,,Motile,"Lance, V. A. et al.",2011,Southeastern Naturalist,https://www.jstor.org/stable/41262920,NDY,NDY,,Adult and Juvenile,"Lance, V. A. et al.",2011,Southeastern Naturalist,https://www.jstor.org/stable/41262920,NDY,NDY,,Non-volant,"Lance, V. A. et al.",2011,Southeastern Naturalist,https://www.jstor.org/stable/41262920,NDY,NDY,,"Terrestrial, Obligative Freshwater Dependent","Goodwin, T.M.; & Marion, W.R.",1979,Journal of Herpetology,10.2307/1563922,NDY,NDY,,Alligator mississippiensis
6398,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Mitani, J. C., Gros-Louis, J., & Richards, A. F.",1996,Am. Nat.,10.1086/285888,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Nowak, R. M.",1999,Walker's Mammals of the World,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Pope, T. R.",1992,Evolution,doi.org/10.1111/j.1558-5646.1992.tb00623.x,NDY,NDY,,Active,"Pope, T. R.",1992,Evolution,doi.org/10.1111/j.1558-5646.1992.tb00623.x,NDY,NDY,,Motile,"Pope, T. R.",1992,Evolution,doi.org/10.1111/j.1558-5646.1992.tb00623.x,NDY,NDY,,Adult and Juvenile,"Agoramoorthy, G. & Rudran, R.",1993,Folia Primatologica,doi.org/10.1159/000156734,NDY,NDY,,Non-volant,"Agoramoorthy, G. & Rudran, R.",1993,Folia Primatologica,doi.org/10.1159/000156734,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Palacios, E.; & Rodriguez, A.",2001,American Journal of Primatology,10.1002/ajp.1057,NDY,NDY,,Alouatta seniculus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,Finch et al.,2012,Ecol. Freshw. Fish,10.1111/eff.12021,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,"Whitehead, P.J.P.",1985,NDY,NDY,Fishbase,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Ginson, R. et al.",2015,Ecology and Evolution,doi.org/10.1002/ece3.1392,NDY,NDY,,Active,"Ginson, R. et al.",2015,Ecology and Evolution,doi.org/10.1002/ece3.1392,NDY,NDY,,Motile,"Ginson, R. et al.",2015,Ecology and Evolution,doi.org/10.1002/ece3.1392,NDY,NDY,,Juvenile,"Ginson, R. et al.",2015,Ecology and Evolution,doi.org/10.1002/ece3.1392,NDY,NDY,,Non-volant,"Ginson, R. et al.",2015,Ecology and Evolution,doi.org/10.1002/ece3.1392,NDY,NDY,,"Freshwater, Mixed","Daniels, R.A.",1993,Journal of Freshwater Ecology,10.1080/02705060.1993.9664868,NDY,NDY,,Ammocrypta pellucida
67979,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,"Lima, M., & Páez, E.",1995,J. Mammal,10.2307/1382619,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Oliveira, L. R. D., Hingst-Zaher, E., & Morgante, J. S.",2005,Lat. Am. J. Aquat. Mamm.,10.5597/lajam00067,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Dalerum, F.",2007,J. Zool,10.1111/j.1469-7998.2007.00303.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Obligative Marine Water Dependent","Stevens, M.A.; & Boness, D.J.",2006,Journal of Zoology,10.1017/S0952836903003583,NDY,NDY,,Arctocephalus australis
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,"Vélez-Espino, L.A.",2005,Ecol. Freshw. Fish,10.1111/j.1600-0633.2005.00084.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Freshwater, Lotic","Alexiades, A.V.; & Encalada, A.C.",2017,Tropical Conservation Science,10.1177/1940082917709598,NDY,NDY,,Astroblepus ubidiai
