,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,snowfall,snowfall_SD,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1,240296,61.799444,-150.369444,1976,1986,10.64398229,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
2,240297,61.799444,-150.369444,1976,1986,NA,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
3,240298,61.799444,-150.369444,1976,1986,NA,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
4,240299,61.799444,-150.369444,1976,1986,NA,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
5,240300,61.799444,-150.369444,1976,1986,8.16781721,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
6,240301,61.799444,-150.369444,1976,1986,12.2931104,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
7,240302,61.799444,-150.369444,1976,1986,9.756314513,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
8,240303,61.799444,-150.369444,1976,1986,Inf,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
9,240304,61.799444,-150.369444,1976,1986,NA,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
10,240305,61.799444,-150.369444,1976,1986,Inf,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
11,240306,61.799444,-150.369444,1976,1986,Inf,comadre,1,273.7485005,9.862699492,0.064643117,0.0420547,0.370432766,0.02808088,0.3684833,0.027967264,0.017834904,0.02084853,0.369279985,0.02442513,0.388852498,0.013393778,0.033773076,0.027552583,-0.029564822,0.032507949
12,240307,8.566667,-67.583333,1969,1999,10.57805761,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
13,240308,8.566667,-67.583333,1969,1999,11.78804075,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
14,240309,8.566667,-67.583333,1969,1999,11.27845846,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
15,240310,8.566667,-67.583333,1969,1999,11.27845846,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
16,240311,8.566667,-67.583333,1969,1999,Inf,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
17,240312,8.566667,-67.583333,1969,1999,Inf,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
18,240313,8.566667,-67.583333,1969,1999,Inf,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
19,240314,8.566667,-67.583333,1969,1999,Inf,comadre,1,300.453974,1.580076736,0.129500545,0.099596085,0.385828988,0.098458826,0.407960315,0.077657641,0,0,0.419870855,0.065451065,0.46360937,0.028731511,0.038587052,0.038445221,-0.090868704,0.027808752
20,240315,NA,NA,2010,2010,9.990009828,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,240316,NA,NA,2010,2010,9.750598792,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,240323,-14.378333,-65.095833,2004,2011,27.83028708,comadre,1,298.4594873,1.37749997,0.162843242,0.118329739,0.390310321,0.076129296,0.406802653,0.066051257,0,0,0.408672655,0.06312178,0.460409571,0.034006247,0.058874868,0.067293657,-0.111861054,0.021238464
23,240329,NA,NA,NA,NA,Inf,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,240330,NA,NA,NA,NA,NA,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,240331,NA,NA,1983,2007,21.18003459,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,240332,NA,NA,1983,2007,21.18376437,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,240333,NA,NA,1983,2007,21.17296417,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,240334,NA,NA,1983,2007,21.26061325,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,240335,NA,NA,1983,2007,21.16962306,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,240336,NA,NA,1983,2007,21.15399326,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,240337,NA,NA,1983,2007,21.13783617,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,240338,NA,NA,1983,2007,21.32445886,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,240339,NA,NA,1983,2007,21.14030433,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,240340,NA,NA,1983,2007,21.22119492,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,240341,NA,NA,1983,2007,21.14030433,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,240342,NA,NA,1983,2007,21.31339426,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,240343,NA,NA,1983,2007,21.1281636,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,240344,NA,NA,1983,2007,21.11727767,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,240345,NA,NA,1983,2007,21.11529202,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,240346,NA,NA,1983,2007,21.27041264,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,240347,NA,NA,1983,2007,21.17325064,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,240348,NA,NA,1983,2007,21.59553502,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,240349,NA,NA,1983,2007,21.23623507,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,240350,NA,NA,1983,2007,21.22186897,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,240351,NA,NA,1983,2007,21.53874972,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,240352,NA,NA,1983,2007,21.35541368,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,240353,NA,NA,1983,2007,21.83367806,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,240354,NA,NA,1983,2007,21.64375655,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,240355,NA,NA,1983,2007,21.38356218,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,240356,NA,NA,1983,2007,21.39069876,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,240357,NA,NA,1998,2010,Inf,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,240358,45.256667,5.995556,1983,2004,Inf,comadre,1,278.0410429,6.970717776,0.141099007,0.063953286,0.42665618,0.024907219,0.429669849,0.024178789,0.040839548,0.049819181,0.427102038,0.027676102,0.453630272,0.013067412,0.099039308,0.099473939,-0.042456959,0.038403199
53,240359,45.256667,5.995556,1983,2004,Inf,comadre,1,278.0410429,6.970717776,0.141099007,0.063953286,0.42665618,0.024907219,0.429669849,0.024178789,0.040839548,0.049819181,0.427102038,0.027676102,0.453630272,0.013067412,0.099039308,0.099473939,-0.042456959,0.038403199
54,240360,45.256667,5.995556,1983,2004,Inf,comadre,1,278.0410429,6.970717776,0.141099007,0.063953286,0.42665618,0.024907219,0.429669849,0.024178789,0.040839548,0.049819181,0.427102038,0.027676102,0.453630272,0.013067412,0.099039308,0.099473939,-0.042456959,0.038403199
55,240361,45.256667,5.995556,1983,2004,Inf,comadre,1,278.0410429,6.970717776,0.141099007,0.063953286,0.42665618,0.024907219,0.429669849,0.024178789,0.040839548,0.049819181,0.427102038,0.027676102,0.453630272,0.013067412,0.099039308,0.099473939,-0.042456959,0.038403199
56,240362,NA,NA,1983,2007,19.65122036,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,240363,NA,NA,1983,2007,15.40764314,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,240364,NA,NA,1983,2007,20.18487229,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,240365,NA,NA,1983,2007,18.34145502,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,240366,NA,NA,1983,2007,20.6362567,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,240367,NA,NA,1983,2007,19.14170138,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,240368,NA,NA,1983,2007,16.82261919,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,240369,NA,NA,1983,2007,17.55180098,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
