,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,T_volumetric_soil_water_layer_2,T_volumetric_soil_water_layer_2_SD,snowfall,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1,238259,44.366667,-73.9,1997,1997,Inf,compadre,1,277.1696918,9.95007464,0.101545272,0.023003707,0.245941391,0.027319437,0.244119887,0.031534329,0.244222621,0.033913485,0.001204892,0.231137483,0.052675723,0.2682114,0.025024327,0.054815808,0.050704364,-0.050334727,0.046135043
2,238260,44.366667,-73.9,1997,1997,NA,compadre,1,277.1696918,9.95007464,0.101545272,0.023003707,0.245941391,0.027319437,0.244119887,0.031534329,0.244222621,0.033913485,0.001204892,0.231137483,0.052675723,0.2682114,0.025024327,0.054815808,0.050704364,-0.050334727,0.046135043
3,238261,NA,NA,2009,2010,NA,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,238262,NA,NA,2009,2010,14.96702001,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,238263,38.5,-90.5,2007,2008,2.160223952,compadre,1,286.7635983,9.895695383,0.092762317,0.053636056,0.329003881,0.05458656,0.330713854,0.056639233,0.334472627,0.05282529,0.00016379,0.32056365,0.063446052,0.357640184,0.02648515,0.026060556,0.026231375,-0.068071264,0.042916386
6,238265,-7.204444,146.631667,1975,1977,146.5882529,compadre,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,238266,-7.204444,146.631667,1975,1977,173.4526746,compadre,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,238271,57.633333,11.75,1985,1988,8.236102035,compadre,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,238272,57.633333,11.75,1985,1988,15.38240137,compadre,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,238273,57.633333,11.75,1985,1988,4.783850427,compadre,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,238274,57.633333,11.75,1985,1988,3.791721378,compadre,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,238275,48.008889,-123.520833,1985,1987,60.63196451,compadre,1,279.8802417,5.615297938,0.118412133,0.080782606,0.33258229,0.072525222,0.335831548,0.066994369,0.358770059,0.051790662,0.001055078,0.337647392,0.05663661,0.386957311,0.023328076,0.079845163,0.067593109,-0.044028532,0.026102829
13,238276,47.997222,-123.548889,1985,1987,31.92623404,compadre,1,279.6617756,5.646457285,0.121164798,0.083042116,0.331266028,0.071901336,0.334085285,0.066842688,0.356897812,0.051804528,0.001090915,0.335235199,0.056911899,0.3850924,0.023630059,0.082918006,0.070633913,-0.043276426,0.026085433
14,238277,47.954722,-123.258333,1985,1987,Inf,compadre,1,279.5757244,5.940776117,0.114844218,0.073370771,0.336862774,0.066380633,0.339068449,0.062691123,0.364828279,0.044275147,0.001034707,0.340139556,0.054739218,0.387804933,0.022357612,0.075160139,0.063380206,-0.04430559,0.02851103
15,238278,47.960556,-123.252778,1985,1987,25.72046449,compadre,1,279.6781827,5.91034539,0.114015483,0.072641927,0.33590591,0.066448488,0.338214069,0.06267676,0.363958674,0.044313776,0.001009944,0.339358544,0.054643993,0.386865146,0.022341209,0.074033624,0.062095726,-0.044668404,0.028413145
16,238279,NA,NA,1985,1987,30.37531817,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,238280,35.5725,-86.950556,2010,2013,#NAME?,compadre,1,288.7432695,8.476231932,0.103669663,0.048710634,0.360610423,0.048846229,0.362773922,0.050350404,0.364702574,0.054802131,5.89E-05,0.360775619,0.051440343,0.387938523,0.024046566,0.026491296,0.022842403,-0.078130487,0.040379969
18,238281,35.5725,-86.950556,2010,2013,45.17589614,compadre,1,288.7432695,8.476231932,0.103669663,0.048710634,0.360610423,0.048846229,0.362773922,0.050350404,0.364702574,0.054802131,5.89E-05,0.360775619,0.051440343,0.387938523,0.024046566,0.026491296,0.022842403,-0.078130487,0.040379969
19,238282,35.5725,-86.950556,2010,2013,13.03625135,compadre,1,288.7432695,8.476231932,0.103669663,0.048710634,0.360610423,0.048846229,0.362773922,0.050350404,0.364702574,0.054802131,5.89E-05,0.360775619,0.051440343,0.387938523,0.024046566,0.026491296,0.022842403,-0.078130487,0.040379969
20,238283,35.5725,-86.950556,2010,2013,#NAME?,compadre,1,288.7432695,8.476231932,0.103669663,0.048710634,0.360610423,0.048846229,0.362773922,0.050350404,0.364702574,0.054802131,5.89E-05,0.360775619,0.051440343,0.387938523,0.024046566,0.026491296,0.022842403,-0.078130487,0.040379969
21,238284,NA,NA,1980,1983,NA,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,238285,NA,NA,1996,2007,13.93705845,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,238286,NA,NA,1996,2007,5.283989156,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,238287,NA,NA,1996,2007,8.738781457,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,238288,NA,NA,1996,2007,7.043004176,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,238289,NA,NA,1996,2007,5.813741126,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,238290,NA,NA,1996,2007,4.200746378,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,238291,NA,NA,1996,2007,7.006068839,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,238292,NA,NA,1996,2007,7.477110398,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,238293,NA,NA,1996,2007,8.935785172,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,238301,78.883333,-75.916667,1996,1996,Inf,compadre,1,257.1617159,11.08525773,0.019744099,0.016184096,0.282676523,0.013119934,0.248523612,0.00724637,0.250890855,0.007122242,0.000559366,0.28036117,0.000298937,0.191529102,2.30E-05,0.005178282,0.017537877,-0.002387901,0.005438764
32,238304,79.15,-80.166667,1996,1996,Inf,compadre,1,255.0445008,11.19286022,0.022295155,0.024208053,0.294885572,0.022828958,0.296888437,0.013808777,0.302798056,0.016676064,0.000638006,0.253421749,0.001163569,0.318674833,0,0.006941539,0.016874016,-0.00104575,0.00248077
33,238306,-32.066667,139.383333,1925,1975,16.67343682,compadre,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,238307,NA,NA,1999,2003,21.74102667,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,238308,NA,NA,1999,2003,18.69916377,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,238309,NA,NA,1999,2003,16.80297182,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,238310,NA,NA,1999,2003,44.94611149,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,238311,NA,NA,1999,2003,21.41675222,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,238312,NA,NA,1999,2003,27.24001369,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,238313,NA,NA,1999,2003,20.40562579,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,238314,NA,NA,1999,2003,28.74919752,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,238315,NA,NA,1999,2003,31.7270747,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,238316,NA,NA,1999,2003,43.55622233,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,238317,NA,NA,1999,2003,23.74960853,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,238318,NA,NA,1999,2003,23.37696466,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,238319,NA,NA,1999,2003,19.74532969,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,238320,NA,NA,1999,2003,29.24007063,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,238321,NA,NA,1999,2003,44.64180967,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,238322,NA,NA,1999,2003,26.02045923,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,238323,NA,NA,1999,2003,14.71199128,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,238324,NA,NA,1999,2003,103.5531781,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,238325,NA,NA,1999,2003,66.80750511,compadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
